Article: Text0529.txt, Predicted Tone: positive
Article: Text0501.txt, Predicted Tone: positive
Article: Text0286.txt, Predicted Tone: positive
Article: Text0965.txt, Predicted Tone: positive
Article: Text0189.txt, Predicted Tone: positive
Article: Text0480.txt, Predicted Tone: positive
Article: Text0435.txt, Predicted Tone: positive
Article: Text0442.txt, Predicted Tone: positive
Article: Text0808.txt, Predicted Tone: neutral
Article: Text0606.txt, Predicted Tone: positive
Article: Text0897.txt, Predicted Tone: positive
Article: Text0337.txt, Predicted Tone: positive
Article: Text0265.txt, Predicted Tone: positive
Article: Text0887.txt, Predicted Tone: positive
Article: Text0557.txt, Predicted Tone: positive
Article: Text0463.txt, Predicted Tone: positive
Article: Text0192.txt, Predicted Tone: positive
Article: Text0235.txt, Predicted Tone: positive
Article: Text0729.txt, Predicted Tone: positive
Article: Text0444.txt, Predicted Tone: positive
Article: Text0707.txt, Predicted Tone: positive
Article: Text0195.txt, Predicted Tone: positive
Article: Text0432.txt, Predicted Tone: positive
Article: Text0375.txt, Predicted Tone: positive
Article: Text0827.txt, Predicted Tone: positive
Article: Text0828.txt, Predicted Tone: positive
Article: Text0835.txt, Predicted Tone: positive
Article: Text0080.txt, Predicted Tone: positive
Article: Text0153.txt, Predicted Tone: positive
Article: Text0551.txt, Predicted Tone: positive
Article: Text0771.txt, Predicted Tone: positive
Article: Text0160.txt, Predicted Tone: positive
Article: Text0121.txt, Predicted Tone: positive
Article: Text0538.txt, Predicted Tone: positive
Article: Text0902.txt, Predicted Tone: positive
Article: Text0249.txt, Predicted Tone: positive
Article: Text0373.txt, Predicted Tone: positive
Article: Text0730.txt, Predicted Tone: neutral
Article: Text0712.txt, Predicted Tone: positive
Article: Text0839.txt, Predicted Tone: neutral
Article: Text0257.txt, Predicted Tone: positive
Article: Text0526.txt, Predicted Tone: positive
Article: Text0127.txt, Predicted Tone: neutral
Article: Text0033.txt, Predicted Tone: positive
Article: Text0482.txt, Predicted Tone: positive
Article: Text0984.txt, Predicted Tone: positive
Article: Text0633.txt, Predicted Tone: positive
Article: Text0498.txt, Predicted Tone: positive
Article: Text0589.txt, Predicted Tone: positive
Article: Text0085.txt, Predicted Tone: positive
Article: Text0006.txt, Predicted Tone: positive
Article: Text0968.txt, Predicted Tone: positive
Article: Text0862.txt, Predicted Tone: neutral
Article: Text0479.txt, Predicted Tone: neutral
Article: Text0896.txt, Predicted Tone: positive
Article: Text0734.txt, Predicted Tone: positive
Article: Text0015.txt, Predicted Tone: positive
Article: Text0429.txt, Predicted Tone: positive
Article: Text0528.txt, Predicted Tone: positive
Article: Text0468.txt, Predicted Tone: positive
Article: Text0374.txt, Predicted Tone: positive
Article: Text0728.txt, Predicted Tone: positive
Article: Text0806.txt, Predicted Tone: positive
Article: Text0300.txt, Predicted Tone: positive
Article: Text0525.txt, Predicted Tone: positive
Article: Text0224.txt, Predicted Tone: positive
Article: Text0185.txt, Predicted Tone: neutral
Article: Text0253.txt, Predicted Tone: positive
Article: Text0112.txt, Predicted Tone: positive
Article: Text0690.txt, Predicted Tone: positive
Article: Text0544.txt, Predicted Tone: positive
Article: Text0990.txt, Predicted Tone: positive
Article: Text0180.txt, Predicted Tone: positive
Article: Text0056.txt, Predicted Tone: positive
Article: Text0540.txt, Predicted Tone: positive
Article: Text0548.txt, Predicted Tone: positive
Article: Text0555.txt, Predicted Tone: positive
Article: Text0655.txt, Predicted Tone: positive
Article: Text0231.txt, Predicted Tone: positive
Article: Text0311.txt, Predicted Tone: positive
Article: Text0877.txt, Predicted Tone: positive
Article: Text0507.txt, Predicted Tone: positive
Article: Text0154.txt, Predicted Tone: positive
Article: Text0972.txt, Predicted Tone: positive
Article: Text0363.txt, Predicted Tone: positive
Article: Text0999.txt, Predicted Tone: positive
Article: Text0909.txt, Predicted Tone: positive
Article: Text0064.txt, Predicted Tone: positive
Article: Text0967.txt, Predicted Tone: positive
Article: Text0513.txt, Predicted Tone: positive
Article: Text0859.txt, Predicted Tone: positive
Article: Text0890.txt, Predicted Tone: positive
Article: Text0004.txt, Predicted Tone: positive
Article: Text0358.txt, Predicted Tone: positive
Article: Text0280.txt, Predicted Tone: negative
Article: Text0961.txt, Predicted Tone: positive
Article: Text0324.txt, Predicted Tone: positive
Article: Text0161.txt, Predicted Tone: positive
Article: Text0955.txt, Predicted Tone: positive
Article: Text0013.txt, Predicted Tone: positive
Article: Text0817.txt, Predicted Tone: positive
Article: Text0352.txt, Predicted Tone: positive
Article: Text0018.txt, Predicted Tone: positive
Article: Text0911.txt, Predicted Tone: positive
Article: Text0938.txt, Predicted Tone: neutral
Article: Text0260.txt, Predicted Tone: positive
Article: Text0037.txt, Predicted Tone: positive
Article: Text0411.txt, Predicted Tone: positive
Article: Text0087.txt, Predicted Tone: positive
Article: Text0097.txt, Predicted Tone: negative
Article: Text0903.txt, Predicted Tone: positive
Article: Text0156.txt, Predicted Tone: positive
Article: Text0225.txt, Predicted Tone: positive
Article: Text0986.txt, Predicted Tone: positive
Article: Text0809.txt, Predicted Tone: positive
Article: Text0901.txt, Predicted Tone: positive
Article: Text0586.txt, Predicted Tone: positive
Article: Text0296.txt, Predicted Tone: positive
Article: Text0344.txt, Predicted Tone: neutral
Article: Text0378.txt, Predicted Tone: positive
Article: Text0721.txt, Predicted Tone: positive
Article: Text0291.txt, Predicted Tone: neutral
Article: Text0236.txt, Predicted Tone: positive
Article: Text0780.txt, Predicted Tone: positive
Article: Text0404.txt, Predicted Tone: positive
